ward,seed,staffing_factor,headcount,fte,fte_netto_bedarf,fte_brutto_ziel,soll_dienste,scenario,method,besetzungsquote,offene_slots,untergrenzen_verstoesse,harte_verstoesse,weiche_abweichungen,qualifikationsverstoesse,hilfskraftanteil,auslastung_mittel,auslastung_streuung,auslastung_spanne,arbeitszeitabweichung,planstabilitaet,geaenderte_zuweisungen,planungszeit_s,solver_status,krankheitsgutschrift_min
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S2,MILP reaktiv,1.0,0,0,0,0,0,0.11,0.891,0.0528,0.2455,0.1174,0.9253,28,0.508,0,5895
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S2,Greedy auf MILP-Plan,1.0,0,0,0,7,0,0.11,0.8975,0.0607,0.2273,0.1108,0.8956,40,0.436,,5895
geriatrie,777,1.0,27,23.2,15.39,19.71,309,S2,MILP auf Greedy-Plan,1.0,0,0,0,18,0,0.1097,0.8803,0.0339,0.1461,0.1197,0.9493,19,0.237,0,3645
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S0,Greedy,1.0,0,0,0,20,0,0.1155,0.8535,0.0528,0.3434,0.1498,1.0,0,0.517,,0
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S0,Greedy reaktiv,1.0,0,0,0,20,0,0.1155,0.8535,0.0528,0.3434,0.1498,1.0,0,0.488,,0
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S0,MILP,1.0,0,0,0,0,0,0.1155,0.8501,0.0102,0.0433,0.1499,1.0,0,7.429,0,0
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S0,MILP reaktiv,1.0,0,0,0,0,0,0.1155,0.8501,0.0102,0.0433,0.1499,1.0,0,0.2,0,0
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S0,Greedy auf MILP-Plan,1.0,0,0,0,2,0,0.1155,0.8501,0.0102,0.0433,0.1499,0.9887,4,0.475,,0
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S0,MILP auf Greedy-Plan,1.0,0,0,0,20,0,0.1155,0.8535,0.0528,0.3434,0.1498,1.0,0,0.196,0,0
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S1,Greedy,1.0,0,0,0,17,0,0.1188,0.8886,0.0465,0.2853,0.1155,0.3144,314,0.534,,6480
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S1,Greedy reaktiv,1.0,0,0,0,20,0,0.1221,0.8969,0.0758,0.3751,0.1123,0.8847,43,0.496,,6480
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S1,MILP,1.0,0,0,0,0,0,0.1188,0.8733,0.0115,0.0649,0.1267,0.2169,379,12.291,0,4095
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S1,MILP reaktiv,1.0,0,0,0,1,0,0.1188,0.8747,0.0313,0.1162,0.1253,0.9499,18,0.896,0,4095
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S1,Greedy auf MILP-Plan,1.0,0,0,0,4,0,0.1188,0.8815,0.0658,0.2543,0.1293,0.9286,26,0.502,,4095
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S1,MILP auf Greedy-Plan,1.0,0,0,0,20,0,0.1155,0.8908,0.0438,0.211,0.1124,0.9258,27,0.572,0,6480
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S2,Greedy,1.0,0,0,0,16,0,0.1155,0.8701,0.0568,0.3434,0.1332,0.5167,203,0.52,,3645
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S2,Greedy reaktiv,1.0,0,0,0,19,0,0.1155,0.8713,0.0625,0.3434,0.132,0.9472,19,0.429,,3645
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S2,MILP,1.0,0,0,0,0,0,0.1155,0.8644,0.0099,0.0449,0.1356,0.2292,370,7.997,0,2880
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S2,MILP reaktiv,1.0,0,0,0,0,0,0.1155,0.8643,0.033,0.1407,0.1357,0.969,11,0.524,0,2880
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S2,Greedy auf MILP-Plan,1.0,0,0,0,3,0,0.1155,0.8686,0.0543,0.2624,0.1394,0.9581,15,0.616,,2880
geriatrie,31415,1.0,28,22.8,15.12,19.36,303,S2,MILP auf Greedy-Plan,1.0,0,0,0,19,0,0.1155,0.871,0.049,0.2676,0.1323,0.9581,15,0.508,0,3645
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S0,Greedy,1.0,0,0,0,18,0,0.1338,0.9561,0.0398,0.1753,0.053,1.0,0,0.425,,0
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S0,Greedy reaktiv,1.0,0,0,0,18,0,0.1338,0.9561,0.0398,0.1753,0.053,1.0,0,0.363,,0
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S0,MILP,1.0,0,0,0,0,0,0.1304,0.9478,0.0124,0.0651,0.0522,1.0,0,9.74,0,0
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S0,MILP reaktiv,1.0,0,0,0,0,0,0.1304,0.9478,0.0124,0.0651,0.0522,1.0,0,0.175,0,0
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S0,Greedy auf MILP-Plan,1.0,0,0,0,3,0,0.1304,0.9478,0.0124,0.0651,0.0522,0.9887,4,0.38,,0
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S0,MILP auf Greedy-Plan,1.0,0,0,0,18,0,0.1338,0.9561,0.0398,0.1753,0.053,1.0,0,0.168,0,0
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S1,Greedy,1.0,0,0,0,14,0,0.1338,0.972,0.0309,0.1656,0.0361,0.3187,310,0.474,,4545
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S1,Greedy reaktiv,1.0,0,0,0,18,0,0.1371,0.9804,0.0523,0.1858,0.0466,0.9214,29,0.394,,4545
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S1,MILP,1.0,0,0,0,0,0,0.1271,0.9739,0.0132,0.0487,0.0267,0.2681,333,30.075,1,5985
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S1,MILP reaktiv,1.0,0,0,0,1,0,0.1271,0.9823,0.0415,0.1469,0.0392,0.9389,22,0.347,0,5985
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S1,Greedy auf MILP-Plan,1.0,0,0,0,6,0,0.1271,0.9869,0.0551,0.1819,0.0527,0.875,47,0.376,,5985
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S1,MILP auf Greedy-Plan,1.0,0,0,0,17,0,0.1338,0.9822,0.0713,0.3117,0.0575,0.953,17,0.179,0,4545
geriatrie,20261133,0.9,24,20.8,14.91,17.19,299,S2,Greedy,1.0,0,0,0,16,0,0.1204,0.9883,0.0304,0.1266,0.0273,0.5093,211,0.457,,5400
